172.27.28.106,5.9.82.77,60524,52103,TCP,1614,1320,294,18.21561338289963,0,195451894.75,6.478934324659232,0,0,14.89672801093818,0.8178438661710037,5.350165580832774e-05,121172.90437073776,nan,nan,1798.0,nan,nan,221.91250543187016,nan,nan,152,72.47893432465924,66,8.257786408591468
172.27.28.106,5.79.98.180,53132,46146,TCP,2097,1801,296,14.115402956604674,0,195528142.0,5.075822603719599,0,0,13.360825451692728,0.8588459704339533,5.443717661880099e-05,93286.32729007634,nan,nan,1798.375,nan,nan,178.51165675060017,nan,nan,168,71.0758226037196,66,10.724798888540557
172.27.28.106,185.149.90.64,46706,51118,TCP,2015,1720,295,14.640198511166252,0,195153976.0,5.138957816377172,0,0,13.343767270469156,0.8535980148883374,5.3060666312020204e-05,96898.69712015889,nan,nan,1143.375,nan,nan,178.05612496844387,nan,nan,160,71.13895781637717,66,10.325180359123198
172.27.28.106,185.45.195.188,51413,28043,UDP,25,0,25,100.0,0,218182171.0,65.2,0,0,14.4,0.8,7.4708212523928e-06,9090923.791666666,nan,nan,969741.875,nan,nan,207.36,nan,nan,136,107.2,100,0.11458314804283436
172.27.28.106,37.24.154.128,51413,58005,UDP,14,0,14,100.0,0,207687582.0,65.71428571428571,0,0,14.771732519669218,0.7857142857142857,4.42973042076247e-06,15975967.846153846,nan,nan,1081062.0,nan,nan,218.2040816326531,nan,nan,136,107.71428571428571,100,0.06740894118551585
172.27.28.106,67.70.15.235,51413,50957,UDP,24,0,24,100.0,0,217470203.75,62.5,0,0,11.905880899790658,0.875,6.897496641537036e-06,9455226.25,nan,nan,1004180.75,nan,nan,141.75,nan,nan,136,104.5,100,0.11035994626459258
172.27.28.106,93.173.183.229,51413,63575,UDP,7623,0,7623,100.0,0,218182634.25,22.2624950806769,0,0,10.936903862990626,0.9472648563557654,0.0007778208407069867,28625.378411178168,nan,nan,15717.0,nan,nan,119.61586610829927,nan,nan,310,64.2624950806769,100,34.93861931864543
172.27.28.106,195.34.15.108,51413,58092,UDP,24,0,24,100.0,0,218182619.75,61.0,0,0,9.9498743710662,0.9166666666666666,6.709975348529108e-06,9486200.858695652,nan,nan,1065578.0,nan,nan,99.0,nan,nan,136,103.0,100,0.10999959587752635
172.27.28.106,62.210.204.84,51413,51413,UDP,24,0,24,100.0,0,218092855.0,68.5,0,0,16.36306817195357,0.7083333333333334,7.53807363381987e-06,9482298.043478262,nan,nan,1143175.0,nan,nan,267.75,nan,nan,136,110.5,100,0.11004487056671343
172.27.28.106,119.56.64.11,51413,51413,UDP,25,0,25,100.0,0,218050618.0,63.76,0,0,13.19781800147282,0.84,7.310229223931849e-06,9085442.416666666,nan,nan,1074686.0,nan,nan,174.18240000000003,nan,nan,136,105.76,100,0.11465227766517956
